ClassNav course extraction
Timestamp: 2025-03-25 17:45:14
====================================================================================================
CRN | Subject | Course | Section | Title | Instructor | Dates
33932 | AME | 3272 | 013 | Lab-AME 3272-010 | TBA | Aug 25 - Dec 12
37899 | AME | 3272 | 014 | Lab-AME 3272-010 | TBA | Aug 25 - Dec 12
41786 | AME | 3272 | 015 | Lab-AME 3272-010 | TBA | Aug 25 - Dec 12
10978 | AME | 3363 | 001 | Design-Thermal-Fluid Systems | Merchan-Merchan, Wilson | Aug 25 - Dec 12
10981 | AME | 3363 | 002 | Design-Thermal-Fluid Systems | Dalton, Christopher | Aug 25 - Dec 12
47164 | AME | 3440 | 010 | Mentored Research Experience | Saha, Mrinal | Aug 25 - Dec 19
41062 | AME | 3440 | 015 | Mentored Research Experience | Sun, Wei | Aug 25 - Dec 19
47109 | AME | 3440 | 021 | Mentored Research Experience | Xu, Bin | Aug 25 - Dec 19
49865 | AME | 3440 | 032 | Mentored Research Experience | Sanchez, Diogo | Aug 25 - Dec 19
41064 | AME | 3440 | 034 | Mentored Research Experience | Xu, Shuozhi | Aug 25 - Dec 19
23554 | AME | 3723 | 002 | AME Numerical Meth Engr Comput | Xu, Shuozhi | Aug 25 - Dec 12
37902 | AME | 3723 | 003 | AME Numerical Meth Engr Comput | Garg, Jivtesh | Aug 25 - Dec 12
11020 | AME | 3960 | 016 | Honors Reading        (HONORS) | Baldwin, James | Aug 25 - Dec 19
11021 | AME | 3960 | 019 | Honors Reading        (HONORS) | Parthasarathy, Ramkumar | Aug 25 - Dec 19
43261 | AME | 3980 | 001 | Honors Research       (HONORS) | Attar, Peter | Aug 25 - Dec 19
11023 | AME | 3980 | 002 | Honors Research       (HONORS) | Merchan-Merchan, Wilson | Aug 25 - Dec 19
11042 | AME | 3980 | 003 | Honors Research       (HONORS) | Mistree, Farrokh | Aug 25 - Dec 19
43262 | AME | 3980 | 004 | Honors Research       (HONORS) | Vedula, Prakash | Aug 25 - Dec 19
11043 | AME | 3980 | 005 | Honors Research       (HONORS) | Lai, Fengchyuan | Aug 25 - Dec 19
11045 | AME | 3980 | 007 | Honors Research       (HONORS) | Siddique, Zahed | Aug 25 - Dec 19
11046 | AME | 3980 | 008 | Honors Research       (HONORS) | Gan, Rong | Aug 25 - Dec 19
11047 | AME | 3980 | 009 | Honors Research       (HONORS) | TBA | Aug 25 - Dec 19
11048 | AME | 3980 | 010 | Honors Research       (HONORS) | Saha, Mrinal | Aug 25 - Dec 19
11049 | AME | 3980 | 011 | Honors Research       (HONORS) | Chang, Kuang-Hua | Aug 25 - Dec 19
30476 | AME | 3980 | 012 | Honors Research       (HONORS) | Ghamarian, Iman | Aug 25 - Dec 19
42750 | AME | 3980 | 015 | Honors Research       (HONORS) | Sun, Wei | Aug 25 - Dec 19
11051 | AME | 3980 | 016 | Honors Research       (HONORS) | Baldwin, James | Aug 25 - Dec 19
11052 | AME | 3980 | 017 | Honors Research       (HONORS) | Song, Li | Aug 25 - Dec 19
11053 | AME | 3980 | 018 | Honors Research       (HONORS) | TBA | Aug 25 - Dec 19
11054 | AME | 3980 | 019 | Honors Research       (HONORS) | Parthasarathy, Ramkumar | Aug 25 - Dec 19
42405 | AME | 3980 | 020 | Honors Research       (HONORS) | Dai, Chenkai | Aug 25 - Dec 19
43264 | AME | 3980 | 024 | Honors Research       (HONORS) | Garg, Jivtesh | Aug 25 - Dec 19
40501 | AME | 3980 | 025 | Honors Research       (HONORS) | Dalton, Christopher | Aug 25 - Dec 19
43265 | AME | 3980 | 026 | Honors Research       (HONORS) | Zhang, Dong | Aug 25 - Dec 19
43266 | AME | 3980 | 027 | Honors Research       (HONORS) | Kazempoor, Pejman | Aug 25 - Dec 19
42428 | AME | 3980 | 029 | Honors Research       (HONORS) | TBA | Aug 25 - Dec 19
11022 | AME | 3980 | 030 | Honors Research       (HONORS) | Shabgard, Hamidreza | Aug 25 - Dec 19
51036 | AME | 4093 | 001 | Biomechanics - Ear Mechanics | Dai, Chenkai | Aug 25 - Dec 12
10989 | AME | 4163 | 001 | Principles-Engineering Design | Haldavnekar, Rupa | Aug 25 - Dec 12
